그룹상품번호,상품번호(스마트스토어),판매자상품코드,상품명,채널,스마트스토어전용 상품명,쇼핑윈도전용 상품명,판매상태,전시상태,재고수량,판매가,할인가,판매자할인,네이버부담할인,옵션,추가상품,상품속성,최소구매수량,최대구매수량,복수구매할인,포인트(상품구매),포인트(상품구매/관리자),포인트(텍스트리뷰 작성),포인트(포토/동영상리뷰 작성),포인트(한달사용 텍스트리뷰 작성),포인트(한달사용 포토/동영상리뷰 작성),포인트(알림받기동의고객 리뷰 작성),무이자할부,사은품,풀필먼트사,배송속성,기준시간,묶음배송,배송비유형,배송비결제방식,기본배송비,반품배송비,교환배송비,반품안심케어,네이버쇼핑 등록(스마트스토어),네이버쇼핑 등록(쇼핑윈도),네이버쇼핑상품번호(스마트스토어),네이버쇼핑상품번호(쇼핑윈도),네이버쇼핑상품번호(수급윈도),표준그룹EP ID(스마트스토어),표준그룹EP ID(쇼핑윈도),대분류,중분류,소분류,세분류,제조사명,브랜드명,브랜드ID,모델명,브랜드인증,자체제작,맞춤제작,N개런티,인증정보,판매자바코드,판매자 내부코드1,판매자 내부코드2,대표이미지 URL,판매시작일,판매종료일,모바일 미리보기 생성일,결제여부,상품등록일,최종수정일,구독유형
,13472759594,KQ85QF7S,삼성 QLED TV 1등급 214cm(85인치) KQ85QF7SAFXKR 스탠드,스마트스토어,,,판매중,전시중,200,3490000,1915000,"1,575,000원",,Y,N,Y,,,,,1.00%,0,0,0,0,0,,,,N희망일배송,,,무료,,0,100000,200000,N,Y,-,91017269946,,,,,디지털/가전,영상가전,TV,QLEDTV,삼성전자,삼성,108602,삼성 TV,Y,N,N,N,Y,,,,http://shop1.phinf.naver.net/20260430_22/1777540612410gHcUu_JPEG/111673416362484481_944919661.jpg,,,,Y,2026-04-30 18:26,2026-04-30 21:22,
,13441164459,AJ30BSS4P36SSY, 시스템 가코드1,스마트스토어,"[전국기본설치포함] 삼성 DVM-H 가정용 무풍 시스템 에어컨 4실, 114.6㎡, 다배관",,판매중지,전시중지,973,100000000,100000000,,,N,Y,Y,,,,,1.00%,0,0,0,0,0,,,,N희망일배송,,,무료,,0,100000,200000,N,Y,-,90985674811,,,,,디지털/가전,계절가전,에어컨,시스템에어컨,삼성전자,삼성,108602,가정용 무풍 시스템 에어컨 4실,Y,N,N,N,Y,,,,http://shop1.phinf.naver.net/20250801_196/17540357305804Vk1I_JPEG/88168591701296962_629506890.jpg,,,,Y,2026-04-23 11:35,2026-04-29 9:10,
,13441159112,AJ30BSS4P36SSY, 시스템 가코드2,스마트스토어,"[전국기본설치포함] 삼성 DVM-H 가정용 무풍 시스템 에어컨 4실, 114.6㎡, 다배관",,판매중지,전시중지,973,100000000,100000000,,,N,Y,Y,,,,,1.00%,0,0,0,0,0,,,,N희망일배송,,,무료,,0,100000,200000,N,Y,-,90985669464,,,,,디지털/가전,계절가전,에어컨,시스템에어컨,삼성전자,삼성,108602,가정용 무풍 시스템 에어컨 4실,Y,N,N,N,Y,,,,http://shop1.phinf.naver.net/20250801_196/17540357305804Vk1I_JPEG/88168591701296962_629506890.jpg,,,,Y,2026-04-23 11:34,2026-04-29 9:10,
,13426614927,AR50F10D13HS,삼성 벽걸이 에어컨 AR50F10D13HS 31.7㎡(10평) 인버터 스마트싱스 AI,스마트스토어,,,판매중지,전시중지,5806,970000,970000,,,N,Y,Y,,,,,1.00%,0,8000,0,2000,1000,,,,일반배송,,,무료,,0,100000,100000,N,Y,-,90971125263,,,,,디지털/가전,계절가전,에어컨,벽걸이형에어컨,삼성전자,삼성,108602,AR50F10D13HS,Y,N,N,N,Y,,,,http://shop1.phinf.naver.net/20250808_266/1754634108534NpwkI_JPEG/88766977661005279_233237845.jpg,,,,Y,2026-04-20 16:58,2026-04-20 16:58,
,13426613012,AW06C7155,삼성 비스포크윈도우핏 창문형에어컨 AW06C7155GWA 무풍 1등급 19.2㎡ 자가설치,스마트스토어,,,판매중지,전시중지,5754,1090000,1090000,,,Y,Y,Y,,,,,1.00%,0,10000,0,5000,0,,,,N희망일배송,,,무료,,0,100000,100000,N,Y,-,90971123348,,,,,디지털/가전,계절가전,에어컨,창문형에어컨,삼성전자,비스포크,251221,AW06C7155GWAZ 자가설치,Y,N,N,N,Y,,,,http://shop1.phinf.naver.net/20250327_95/1743034783677DnXH7_JPEG/77389196490285812_1548210470.jpg,,,,Y,2026-04-20 16:57,2026-04-20 16:58,
,13426601620,AF70F17D11GR,"삼성 AI 무풍클래식 멀티에어컨 AF70F17D11GRS 일반배관 전국, 기본설치비포함",스마트스토어,,,판매중지,전시중지,1965,2720000,2720000,,,Y,Y,Y,,1개/1회,,,1.00%,2000,10000,1000,5000,0,,,,N희망일배송,,,무료,,0,0,0,N,N,-,90971111956,,,,,디지털/가전,계절가전,에어컨,멀티형에어컨,삼성전자,삼성,108602,AF70F17D11GRS,Y,N,N,N,Y,,,,http://shop1.phinf.naver.net/20250403_231/1743682328771NszFC_JPEG/14209183612387132_1015322501.jpg,,,,Y,2026-04-20 16:55,2026-04-20 16:58,
,13413811315,AF90H17D27SR,삼성 AI 무풍콤보 갤러리 프로 멀티에어컨 일반배관 AF90H17D27SRS 전국설치,스마트스토어,,,판매중,전시중,19988,4020000,3609000,"411,000원",,Y,Y,Y,,,,,1.00%,0,20000,0,0,0,,4월 다운로드 쿠폰 12만원 추가 적용,,N희망일배송,,,무료,,0,50000,50000,N,Y,-,90958321651,,,,,디지털/가전,계절가전,에어컨,멀티형에어컨,삼성전자,삼성,108602,AF90H17D27SR,Y,N,N,N,Y,,,,http://shop1.phinf.naver.net/20260417_18/1776413417562D3qF6_JPEG/110546296117888651_1758631881.jpg,,,,Y,2026-04-17 17:23,2026-05-04 11:13,
,13413687198,AF90H17D27S,삼성 AI 무풍콤보 갤러리 프로 스탠드에어컨 일반배관 AF90H17D27SS 전국설치,스마트스토어,,,판매중,전시중,19988,3533000,3039000,"494,000원",,Y,Y,Y,,,,,1.00%,0,20000,0,0,0,,4월 다운로드 쿠폰 12만원 추가 적용,,N희망일배송,,,무료,,0,50000,50000,N,Y,-,90958197534,,,,,디지털/가전,계절가전,에어컨,스탠드형에어컨,삼성전자,삼성,108602,AF90H17D27S,Y,N,N,N,Y,,,,http://shop1.phinf.naver.net/20260417_225/1776411081815H79pl_JPEG/110543933940144984_257896820.jpg,,,,Y,2026-04-17 16:50,2026-05-04 11:14,
,13375852016,KU85MH75,[체험단]삼성 Mini LED TV  KU85MH75AFXKR 4K 214cm(85인치) 1등급 스탠드,스마트스토어,,,판매중,전시중지,5,2890000,1160000,"1,730,000원",,Y,N,Y,,,,,1.00%,0,0,0,0,0,,,,N희망일배송,,,무료,,0,50000,50000,N,Y,-,90920362352,,,,,디지털/가전,영상가전,TV,LEDTV,삼성전자,삼성,108602,삼성 TV,Y,N,N,N,Y,,,,http://shop1.phinf.naver.net/20260402_178/17751095383798iTEw_JPEG/121827857785954761_1975653089.jpg,,,,Y,2026-04-09 14:08,2026-04-21 16:35,
,13365410246,HW-LS70H/KR,삼성 뮤직 스튜디오 3.1.1ch HW-LS70H/KR Wi-Fi 스피커 사운드바 고품질 사운드,스마트스토어,,,판매중지,전시중지,999,999000,999000,,,N,N,Y,,,,,1.00%,0,0,0,0,0,,삼성전자 온라인 공식인증점 주식회사 보보,,일반배송,,,무료,,0,100000,200000,N,Y,-,90909920578,,,,,디지털/가전,음향가전,홈시어터,사운드바시스템,삼성전자,,,사운드바,Y,N,N,N,Y,,,,http://shop1.phinf.naver.net/20260407_211/1775544763265YAeQe_JPEG/24873572412089570_2140646427.jpg,,,,Y,2026-04-07 16:03,2026-04-07 16:37,
